# object, x, y, z, voltage
0.000000000000000000e+00,-3.000000000000000000e+01,-3.000000000000000000e+01,-3.000000000000000000e+01,1.644696108996900052e-02
1.000000000000000000e+00,-3.000000000000000000e+01,-3.000000000000000000e+01,-3.000000000000000000e+01,1.529007777571700019e-02
2.000000000000000000e+00,-3.000000000000000000e+01,-3.000000000000000000e+01,-3.000000000000000000e+01,1.618162542581599861e-02
3.000000000000000000e+00,-3.000000000000000000e+01,-3.000000000000000000e+01,-3.000000000000000000e+01,1.564167626202099884e-02
0.000000000000000000e+00,-3.000000000000000000e+01,-3.000000000000000000e+01,0.000000000000000000e+00,3.959354478865900057e-03
1.000000000000000000e+00,-3.000000000000000000e+01,-3.000000000000000000e+01,0.000000000000000000e+00,3.047905163839500185e-03
2.000000000000000000e+00,-3.000000000000000000e+01,-3.000000000000000000e+01,0.000000000000000000e+00,3.674886189401099876e-03
3.000000000000000000e+00,-3.000000000000000000e+01,-3.000000000000000000e+01,0.000000000000000000e+00,3.791880095377599992e-03
0.000000000000000000e+00,-3.000000000000000000e+01,-3.000000000000000000e+01,3.000000000000000000e+01,1.584595628082800106e-02
1.000000000000000000e+00,-3.000000000000000000e+01,-3.000000000000000000e+01,3.000000000000000000e+01,1.464521698653700049e-02
2.000000000000000000e+00,-3.000000000000000000e+01,-3.000000000000000000e+01,3.000000000000000000e+01,1.544462237507100016e-02
3.000000000000000000e+00,-3.000000000000000000e+01,-3.000000000000000000e+01,3.000000000000000000e+01,1.624092645943199867e-02
0.000000000000000000e+00,-3.000000000000000000e+01,0.000000000000000000e+00,-3.000000000000000000e+01,4.555365536361899795e-03
1.000000000000000000e+00,-3.000000000000000000e+01,0.000000000000000000e+00,-3.000000000000000000e+01,4.192717839032400300e-03
2.000000000000000000e+00,-3.000000000000000000e+01,0.000000000000000000e+00,-3.000000000000000000e+01,5.165293812751800377e-03
3.000000000000000000e+00,-3.000000000000000000e+01,0.000000000000000000e+00,-3.000000000000000000e+01,4.144198726862700216e-03
0.000000000000000000e+00,-3.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.884889841079699771e-03
1.000000000000000000e+00,-3.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.752584129571899928e-03
2.000000000000000000e+00,-3.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.378395043313499796e-03
3.000000000000000000e+00,-3.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.373023010790299481e-03
0.000000000000000000e+00,-3.000000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+01,3.437598934397100101e-03
1.000000000000000000e+00,-3.000000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+01,3.060421440750399954e-03
2.000000000000000000e+00,-3.000000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+01,3.665104974061300126e-03
3.000000000000000000e+00,-3.000000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+01,3.987662494182599680e-03
0.000000000000000000e+00,-3.000000000000000000e+01,3.000000000000000000e+01,-3.000000000000000000e+01,1.594503223895999897e-02
1.000000000000000000e+00,-3.000000000000000000e+01,3.000000000000000000e+01,-3.000000000000000000e+01,1.641434989869600125e-02
2.000000000000000000e+00,-3.000000000000000000e+01,3.000000000000000000e+01,-3.000000000000000000e+01,1.740491949021799947e-02
3.000000000000000000e+00,-3.000000000000000000e+01,3.000000000000000000e+01,-3.000000000000000000e+01,1.576933637261400054e-02
