# x, y, z, G_A1, G_A2, G_A3, G_SC
2.035749269674951845e-01,8.500870000000000370e-01,2.749236182840053555e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
-5.325410742305018985e-01,-3.540798964447011699e-01,9.117260000000000364e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
-3.831585366244024016e+00,8.951461832057375223e-02,9.577099999999999502e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
-1.813530155652996356e+00,6.469089058028970607e-01,9.577099999999999502e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
6.315450000000000230e-01,5.758081036803242014e-02,-7.682779184304847075e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.543461026724362917e+00,-2.851910420342219088e-01,9.747639999999999638e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
-5.689044551720844334e-01,-6.818156745578688449e-01,-3.010399999999999743e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
-5.122037268051664594e-01,4.477116945763823797e-01,9.117260000000000364e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.808926881195810132e-01,-4.097798671664479309e-01,9.747639999999999638e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.553489500432116976e+00,1.372368905681469742e-01,9.577099999999999502e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
-6.602199575620940619e-01,-9.474632120408701397e-01,-3.926905507892763936e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
-1.849594398966783793e+00,4.463799422305003151e-01,9.747639999999999638e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
3.222804439667555254e+00,-1.881518171043620180e-01,9.577099999999999502e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.636343269545486034e+00,-2.021699755866851467e-02,9.747639999999999638e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.669704765057490992e+00,8.399131198931825137e-02,9.747639999999999638e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
-1.287353772440094968e+00,5.351522357006145425e-01,9.577099999999999502e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
-7.582700736720879298e-02,-2.120811450735693438e-01,-4.213700000000000223e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
-3.617006885799277427e+00,6.009936392834627217e-01,9.747639999999999638e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
-5.810319493671538549e-01,-5.513573608875803611e-01,-3.010399999999999743e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
6.138384226158587476e-01,-6.974900861964790089e-01,-1.945280762071277536e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
-2.324756959300644077e+00,6.418688699303720657e-02,9.577099999999999502e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
-2.757665504443464477e-01,5.194868954839626518e-01,9.117260000000000364e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
-1.970290000000000097e-01,9.076473182021320696e-01,4.442633870360103709e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
-6.315450000000000230e-01,1.020452128125930447e-01,9.053689565168765441e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
-6.176820942681485738e-01,-1.475134268596473841e-01,9.117260000000000364e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
-6.447227084261881735e-01,-8.450685242778444017e-01,-4.522370512117739771e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
-6.315450000000000230e-01,-7.025679597164784518e-01,-2.884392174808588782e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.721556935060788440e+00,1.260693742573742449e-01,9.577099999999999502e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.031120633715190582e+00,1.735962318872978249e+00,-2.484823875180072861e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.111018378531025252e+00,6.793576135411012462e-01,9.747639999999999638e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
-2.467983752741608861e+00,1.957957424715469630e-01,9.577099999999999502e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
-3.071654975360771922e-01,1.326595741436144560e-01,1.032883999999999913e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.768467779260449291e+00,-8.264408980599091681e-02,9.747639999999999638e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
-6.434590979587256898e-01,-8.252995206633517711e-01,-3.635031587568139155e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.795896251070957517e-01,-6.973396060454875034e-01,9.117260000000000364e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.491171033499051779e-02,-4.977641454020067524e-01,9.117260000000000364e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
3.491350693801436034e+00,-2.513026487227950634e-01,9.577099999999999502e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
-7.169636171912292522e-01,-8.875977375853908447e-01,5.288214212984518880e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
-2.620894183394582910e+00,4.459272719336120905e-01,9.577099999999999502e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
-4.940716667871436485e-03,-9.604040000000000354e-01,2.577020809647390109e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
3.109824464428499802e+00,-1.601169820234575880e-01,9.747639999999999638e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
-3.355590400705538379e+00,4.530683138943812360e-01,9.747639999999999638e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
-3.068970001561031058e-01,-2.808062759287506260e-01,-3.010399999999999743e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
-3.489630000000000232e-01,-8.926853137155925655e-01,-5.287634159379195342e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
-1.508583878152149615e-01,-9.604040000000000354e-01,-1.913942190396035192e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
-5.783421792615975887e-01,-7.766739869267377250e-01,-4.610425904869446256e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.885419682048050660e-02,-5.865678844322651520e-01,-3.010399999999999743e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
-5.784438534086433492e-01,-9.013468902503019020e-01,-3.827189614960812669e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.703515030566955801e-02,8.507363606267358547e-01,-4.758877874177606659e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
-3.397834704275063622e+00,3.470096734147422035e-01,9.747639999999999638e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
