# x,y,z,Ex,Ey,Ez
-3.750212499999999949e+00,-1.125720600000000005e+01,-1.298381200000000035e+01,-6.102967499999999677e-03,-1.912085900000000047e-02,-2.095353000000000146e-02
-3.250212499999999949e+00,-1.125720600000000005e+01,-1.298381200000000035e+01,-5.351300399999999943e-03,-1.945630099999999876e-02,-2.132345199999999968e-02
-2.750212499999999949e+00,-1.125720600000000005e+01,-1.298381200000000035e+01,-4.557381400000000242e-03,-1.971791499999999905e-02,-2.161676800000000148e-02
-2.250212499999999949e+00,-1.125720600000000005e+01,-1.298381200000000035e+01,-3.721035599999999912e-03,-1.994357600000000105e-02,-2.186694399999999927e-02
-1.750212499999999949e+00,-1.125720600000000005e+01,-1.298381200000000035e+01,-2.862318899999999854e-03,-2.012948300000000010e-02,-2.207422399999999993e-02
-1.250212499999999949e+00,-1.125720600000000005e+01,-1.298381200000000035e+01,-1.970991699999999867e-03,-2.025303200000000067e-02,-2.221139000000000099e-02
-7.502124999999999488e-01,-1.125720600000000005e+01,-1.298381200000000035e+01,-1.062585900000000095e-03,-2.035170799999999960e-02,-2.232040100000000013e-02
-2.502125000000000044e-01,-1.125720600000000005e+01,-1.298381200000000035e+01,-1.609399000000000073e-04,-2.039181799999999906e-02,-2.237606199999999865e-02
2.497874999999999956e-01,-1.125720600000000005e+01,-1.298381200000000035e+01,7.503913899999999516e-04,-2.036164299999999872e-02,-2.234882900000000061e-02
7.497875000000000512e-01,-1.125720600000000005e+01,-1.298381200000000035e+01,1.653111899999999950e-03,-2.027994799999999903e-02,-2.227274300000000110e-02
1.249787500000000051e+00,-1.125720600000000005e+01,-1.298381200000000035e+01,2.546913500000000212e-03,-2.015399000000000010e-02,-2.214268000000000139e-02
1.749787500000000051e+00,-1.125720600000000005e+01,-1.298381200000000035e+01,3.415547799999999953e-03,-1.998351300000000136e-02,-2.196902800000000155e-02
2.249787500000000051e+00,-1.125720600000000005e+01,-1.298381200000000035e+01,4.253540200000000167e-03,-1.976448100000000041e-02,-2.173684899999999906e-02
2.749787500000000051e+00,-1.125720600000000005e+01,-1.298381200000000035e+01,5.051994199999999824e-03,-1.950746000000000077e-02,-2.146400899999999917e-02
3.249787500000000051e+00,-1.125720600000000005e+01,-1.298381200000000035e+01,5.810225399999999728e-03,-1.919508699999999957e-02,-2.113800100000000001e-02
3.749787500000000051e+00,-1.125720600000000005e+01,-1.298381200000000035e+01,6.520756499999999685e-03,-1.883456699999999998e-02,-2.074712899999999957e-02
4.249787500000000051e+00,-1.125720600000000005e+01,-1.298381200000000035e+01,7.200786800000000092e-03,-1.842132000000000144e-02,-2.030532599999999854e-02
4.749787500000000051e+00,-1.125720600000000005e+01,-1.298381200000000035e+01,7.847691900000000262e-03,-1.799630400000000116e-02,-1.984997700000000129e-02
5.249787500000000051e+00,-1.125720600000000005e+01,-1.298381200000000035e+01,8.440589499999999815e-03,-1.755958800000000097e-02,-1.937477300000000138e-02
5.749787500000000051e+00,-1.125720600000000005e+01,-1.298381200000000035e+01,8.982499099999999292e-03,-1.709777300000000014e-02,-1.887458200000000086e-02
6.249787500000000051e+00,-1.125720600000000005e+01,-1.298381200000000035e+01,9.469306999999999724e-03,-1.663108500000000031e-02,-1.836714700000000033e-02
6.749787500000000051e+00,-1.125720600000000005e+01,-1.298381200000000035e+01,9.893460200000000690e-03,-1.614829500000000001e-02,-1.783981499999999845e-02
7.249787500000000051e+00,-1.125720600000000005e+01,-1.298381200000000035e+01,1.025853000000000008e-02,-1.563172999999999993e-02,-1.728336100000000056e-02
7.749787500000000051e+00,-1.125720600000000005e+01,-1.298381200000000035e+01,1.059487400000000065e-02,-1.511200700000000022e-02,-1.671537400000000159e-02
8.249787500000000051e+00,-1.125720600000000005e+01,-1.298381200000000035e+01,1.088926399999999919e-02,-1.460047100000000028e-02,-1.616043400000000130e-02
8.749787500000000051e+00,-1.125720600000000005e+01,-1.298381200000000035e+01,1.114761099999999998e-02,-1.409612499999999928e-02,-1.561040200000000065e-02
9.249787500000000051e+00,-1.125720600000000005e+01,-1.298381200000000035e+01,1.135878499999999972e-02,-1.361796099999999961e-02,-1.508724099999999950e-02
9.749787500000000051e+00,-1.125720600000000005e+01,-1.298381200000000035e+01,1.151733299999999939e-02,-1.315439000000000018e-02,-1.457762699999999925e-02
1.024978800000000057e+01,-1.125720600000000005e+01,-1.298381200000000035e+01,1.158445900000000008e-02,-1.270720000000000009e-02,-1.408477200000000061e-02
1.074978800000000057e+01,-1.125720600000000005e+01,-1.298381200000000035e+01,1.162725400000000006e-02,-1.220533700000000013e-02,-1.353556199999999925e-02
1.124978800000000057e+01,-1.125720600000000005e+01,-1.298381200000000035e+01,1.166537800000000055e-02,-1.173590700000000028e-02,-1.301977300000000011e-02
1.174978800000000057e+01,-1.125720600000000005e+01,-1.298381200000000035e+01,1.165404700000000071e-02,-1.128932300000000041e-02,-1.251286599999999923e-02
-1.175021199999999943e+01,-1.075720600000000005e+01,-1.298381200000000035e+01,-1.218956499999999943e-02,-1.151638699999999946e-02,-1.325026200000000050e-02
-1.125021199999999943e+01,-1.075720600000000005e+01,-1.298381200000000035e+01,-1.217900899999999932e-02,-1.199964700000000044e-02,-1.378674700000000024e-02
-1.075021199999999943e+01,-1.075720600000000005e+01,-1.298381200000000035e+01,-1.214653400000000050e-02,-1.249026699999999934e-02,-1.435053900000000070e-02
-1.025021199999999943e+01,-1.075720600000000005e+01,-1.298381200000000035e+01,-1.207301000000000034e-02,-1.298320300000000045e-02,-1.491664200000000079e-02
-9.750212499999999949e+00,-1.075720600000000005e+01,-1.298381200000000035e+01,-1.195686600000000002e-02,-1.348874700000000058e-02,-1.549319199999999938e-02
-9.250212499999999949e+00,-1.075720600000000005e+01,-1.298381200000000035e+01,-1.179447599999999992e-02,-1.399618300000000058e-02,-1.607318199999999836e-02
-8.750212499999999949e+00,-1.075720600000000005e+01,-1.298381200000000035e+01,-1.157309200000000010e-02,-1.451451200000000025e-02,-1.667038499999999937e-02
-8.250212499999999949e+00,-1.075720600000000005e+01,-1.298381200000000035e+01,-1.130156199999999937e-02,-1.504419499999999979e-02,-1.726628100000000138e-02
-7.750212499999999949e+00,-1.075720600000000005e+01,-1.298381200000000035e+01,-1.098065999999999973e-02,-1.557644400000000005e-02,-1.787855500000000084e-02
-7.250212499999999949e+00,-1.075720600000000005e+01,-1.298381200000000035e+01,-1.060659700000000059e-02,-1.610632999999999856e-02,-1.847904699999999845e-02
-6.750212499999999949e+00,-1.075720600000000005e+01,-1.298381200000000035e+01,-1.018143799999999925e-02,-1.663101499999999899e-02,-1.906634100000000054e-02
-6.250212499999999949e+00,-1.075720600000000005e+01,-1.298381200000000035e+01,-9.704874800000000759e-03,-1.713953000000000004e-02,-1.965209299999999895e-02
-5.750212499999999949e+00,-1.075720600000000005e+01,-1.298381200000000035e+01,-9.172175100000000761e-03,-1.762986600000000098e-02,-2.020664299999999983e-02
-5.250212499999999949e+00,-1.075720600000000005e+01,-1.298381200000000035e+01,-8.572091299999999234e-03,-1.809962099999999977e-02,-2.075325500000000170e-02
-4.750212499999999949e+00,-1.075720600000000005e+01,-1.298381200000000035e+01,-7.919246300000000113e-03,-1.854701900000000139e-02,-2.126504499999999978e-02
-4.250212499999999949e+00,-1.075720600000000005e+01,-1.298381200000000035e+01,-7.210990900000000328e-03,-1.896670599999999984e-02,-2.175426700000000074e-02
-3.750212499999999949e+00,-1.075720600000000005e+01,-1.298381200000000035e+01,-6.456037100000000008e-03,-1.935070399999999982e-02,-2.219454800000000144e-02
-3.250212499999999949e+00,-1.075720600000000005e+01,-1.298381200000000035e+01,-5.660301999999999868e-03,-1.969074100000000119e-02,-2.259191699999999955e-02
-2.750212499999999949e+00,-1.075720600000000005e+01,-1.298381200000000035e+01,-4.823209299999999845e-03,-1.998549100000000106e-02,-2.294413699999999987e-02
-2.250212499999999949e+00,-1.075720600000000005e+01,-1.298381200000000035e+01,-3.943562999999999756e-03,-2.023120399999999916e-02,-2.323081199999999999e-02
-1.750212499999999949e+00,-1.075720600000000005e+01,-1.298381200000000035e+01,-3.025637900000000165e-03,-2.042744299999999999e-02,-2.346775900000000123e-02
-1.250212499999999949e+00,-1.075720600000000005e+01,-1.298381200000000035e+01,-2.081617200000000084e-03,-2.057094500000000020e-02,-2.363957800000000137e-02
-7.502124999999999488e-01,-1.075720600000000005e+01,-1.298381200000000035e+01,-1.122109499999999994e-03,-2.066149700000000089e-02,-2.374782599999999966e-02
